<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
59436.HK,D,20250304,000000,0.115,0.129,0.1,0.128,1000000,0
59436.HK,D,20250305,000000,0.142,0.148,0.128,0.146,2320000,0
59436.HK,D,20250306,000000,0.157,0.176,0.155,0.176,3980000,0
59436.HK,D,20250307,000000,0.175,0.247,0.175,0.201,8360000,0
59436.HK,D,20250310,000000,0.191,0.195,0.173,0.187,2580000,0
59436.HK,D,20250311,000000,0.17,0.205,0.17,0.205,880000,0
59436.HK,D,20250312,000000,0.223,0.24,0.195,0.205,3340000,0
59436.HK,D,20250313,000000,0.175,0.183,0.164,0.174,1220000,0
59436.HK,D,20250314,000000,0.18,0.222,0.179,0.222,560000,0
59436.HK,D,20250317,000000,0.23,0.23,0.211,0.214,860000,0
59436.HK,D,20250318,000000,0.221,0.24,0.219,0.24,2420000,0
59436.HK,D,20250319,000000,0.25,0.26,0.196,0.2,2160000,0
59436.HK,D,20250320,000000,0.189,0.189,0.152,0.152,1520000,0
59436.HK,D,20250321,000000,0.136,0.14,0.112,0.113,1560000,0
59436.HK,D,20250324,000000,0.094,0.113,0.094,0.113,1040000,0
59436.HK,D,20250325,000000,0.103,0.103,0.092,0.095,780000,0
59436.HK,D,20250326,000000,0.101,0.105,0.089,0.104,15260000,0
59436.HK,D,20250327,000000,0.111,0.126,0.103,0.12,1480000,0
59436.HK,D,20250328,000000,0.121,0.121,0.103,0.107,1400000,0
59436.HK,D,20250331,000000,0.092,0.092,0.072,0.079,1440000,0
59436.HK,D,20250401,000000,0.084,0.085,0.073,0.085,660000,0
59436.HK,D,20250402,000000,0.08,0.093,0.073,0.085,4180000,0
59436.HK,D,20250403,000000,0.063,0.078,0.063,0.075,2280000,0
