<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
24743.HK,D,20240502,000000,0.174,0.189,0.173,0.189,280000,0
24743.HK,D,20240503,000000,0.193,0.193,0.187,0.187,810000,0
24743.HK,D,20240506,000000,0.176,0.178,0.176,0.176,950000,0
24743.HK,D,20240507,000000,0.167,0.17,0.161,0.161,800000,0
24743.HK,D,20240508,000000,0.163,0.163,0.154,0.162,760000,0
24743.HK,D,20240509,000000,0.171,0.175,0.169,0.173,960000,0
24743.HK,D,20240510,000000,0.168,0.174,0.168,0.173,80000,0
24743.HK,D,20240513,000000,0.175,0.175,0.173,0.175,200000,0
24743.HK,D,20240514,000000,0.182,0.184,0.175,0.176,3440000,0
24743.HK,D,20240516,000000,0.168,0.176,0.165,0.174,1410000,0
24743.HK,D,20240517,000000,0.186,0.188,0.177,0.184,1400000,0
24743.HK,D,20240520,000000,0.189,0.19,0.182,0.189,1060000,0
24743.HK,D,20240521,000000,0.184,0.184,0.164,0.164,950000,0
24743.HK,D,20240522,000000,0.164,0.173,0.162,0.167,5380000,0
24743.HK,D,20240523,000000,0.161,0.161,0.156,0.156,3320000,0
24743.HK,D,20240524,000000,0.147,0.147,0.139,0.139,10450000,0
24743.HK,D,20240527,000000,0.142,0.151,0.137,0.151,2300000,0
24743.HK,D,20240528,000000,0.187,0.202,0.183,0.184,9170000,0
24743.HK,D,20240529,000000,0.195,0.207,0.193,0.204,3560000,0
24743.HK,D,20240530,000000,0.212,0.212,0.206,0.209,4220000,0
24743.HK,D,20240531,000000,0.207,0.21,0.174,0.174,20200000,0
24743.HK,D,20240603,000000,0.181,0.189,0.18,0.18,3760000,0
24743.HK,D,20240604,000000,0.186,0.195,0.181,0.191,4980000,0
24743.HK,D,20240605,000000,0.189,0.2,0.189,0.199,6250000,0
24743.HK,D,20240606,000000,0.223,0.23,0.211,0.225,12110000,0
24743.HK,D,20240607,000000,0.225,0.236,0.222,0.236,14300000,0
24743.HK,D,20240611,000000,0.224,0.23,0.218,0.23,1340000,0
24743.HK,D,20240612,000000,0.203,0.203,0.192,0.198,13110000,0
24743.HK,D,20240613,000000,0.209,0.209,0.199,0.203,970000,0
