<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
13359.HK,D,20250206,000000,0.138,0.142,0.134,0.137,6316000,0
13359.HK,D,20250207,000000,0.157,0.167,0.156,0.166,10748000,0
13359.HK,D,20250210,000000,0.179,0.183,0.174,0.175,20208000,0
13359.HK,D,20250211,000000,0.201,0.211,0.201,0.21,13464000,0
13359.HK,D,20250212,000000,0.22,0.237,0.22,0.227,22660000,0
13359.HK,D,20250213,000000,0.246,0.26,0.238,0.243,14884000,0
13359.HK,D,20250214,000000,0.246,0.247,0.212,0.218,76324000,0
13359.HK,D,20250217,000000,0.221,0.238,0.2,0.235,36580000,0
13359.HK,D,20250218,000000,0.275,0.295,0.27,0.29,4304000,0
13359.HK,D,20250219,000000,0.315,0.335,0.27,0.28,11464000,0
13359.HK,D,20250220,000000,0.28,0.285,0.249,0.265,6484000,0
13359.HK,D,20250221,000000,0.241,0.26,0.237,0.26,7892000,0
13359.HK,D,20250224,000000,0.245,0.248,0.189,0.222,64860000,0
13359.HK,D,20250225,000000,0.23,0.265,0.222,0.25,19676000,0
13359.HK,D,20250226,000000,0.295,0.345,0.295,0.305,1840000,0
13359.HK,D,20250227,000000,0.335,0.35,0.32,0.345,968000,0
13359.HK,D,20250228,000000,0.36,0.36,0.325,0.34,1332000,0
13359.HK,D,20250303,000000,0.47,0.5,0.45,0.465,432000,0
13359.HK,D,20250304,000000,0.485,0.53,0.48,0.52,672000,0
13359.HK,D,20250305,000000,0.5,0.5,0.42,0.49,596000,0
13359.HK,D,20250306,000000,0.51,0.56,0.51,0.56,112000,0
13359.HK,D,20250307,000000,0.48,0.51,0.47,0.47,236000,0
13359.HK,D,20250310,000000,0.49,0.5,0.44,0.445,392000,0
13359.HK,D,20250311,000000,0.33,0.355,0.29,0.325,3392000,0
13359.HK,D,20250312,000000,0.28,0.305,0.27,0.285,656000,0
13359.HK,D,20250313,000000,0.33,0.35,0.295,0.315,1288000,0
13359.HK,D,20250314,000000,0.285,0.325,0.285,0.31,864000,0
13359.HK,D,20250317,000000,0.395,0.43,0.395,0.415,2508000,0
13359.HK,D,20250318,000000,0.48,0.48,0.47,0.48,360000,0
13359.HK,D,20250319,000000,0.51,0.51,0.51,0.51,12000,0
13359.HK,D,20250320,000000,0.51,0.51,0.51,0.51,16000,0
13359.HK,D,20250321,000000,0.455,0.455,0.43,0.43,332000,0
13359.HK,D,20250324,000000,0.445,0.445,0.42,0.425,64000,0
13359.HK,D,20250325,000000,0.405,0.405,0.405,0.405,232000,0
13359.HK,D,20250326,000000,0.46,0.465,0.415,0.415,120000,0
13359.HK,D,20250327,000000,0.46,0.48,0.44,0.44,208000,0
13359.HK,D,20250328,000000,0.405,0.405,0.405,0.405,0,0
13359.HK,D,20250331,000000,0.355,0.355,0.355,0.355,0,0
13359.HK,D,20250401,000000,0.38,0.385,0.375,0.375,136000,0
13359.HK,D,20250402,000000,0.375,0.375,0.355,0.355,200000,0
13359.HK,D,20250403,000000,0.275,0.305,0.241,0.26,3932000,0
13359.HK,D,20250407,000000,0.068,0.112,0.068,0.087,9488000,0
13359.HK,D,20250408,000000,0.114,0.114,0.065,0.073,9196000,0
13359.HK,D,20250409,000000,0.049,0.074,0.048,0.074,8924000,0
13359.HK,D,20250410,000000,0.102,0.104,0.082,0.098,13512000,0
13359.HK,D,20250411,000000,0.078,0.101,0.071,0.096,8520000,0
13359.HK,D,20250414,000000,0.137,0.137,0.112,0.121,5148000,0
13359.HK,D,20250415,000000,0.126,0.126,0.095,0.098,4548000,0
13359.HK,D,20250416,000000,0.12,0.121,0.093,0.1,4276000,0
13359.HK,D,20250417,000000,0.109,0.117,0.102,0.109,2608000,0
