<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
56000.HK,D,20250220,000000,0.214,0.215,0.213,0.215,95000,0
56000.HK,D,20250221,000000,0.187,0.191,0.166,0.166,6280000,0
56000.HK,D,20250224,000000,0.172,0.192,0.17,0.192,3135000,0
56000.HK,D,20250225,000000,0.217,0.217,0.21,0.213,1760000,0
56000.HK,D,20250226,000000,0.205,0.205,0.179,0.189,3900000,0
56000.HK,D,20250227,000000,0.181,0.197,0.174,0.197,1060000,0
56000.HK,D,20250228,000000,0.2,0.225,0.2,0.224,1575000,0
56000.HK,D,20250303,000000,0.2,0.22,0.2,0.215,905000,0
56000.HK,D,20250304,000000,0.225,0.225,0.205,0.205,145000,0
56000.HK,D,20250305,000000,0.191,0.192,0.18,0.18,300000,0
56000.HK,D,20250306,000000,0.145,0.148,0.126,0.126,2155000,0
56000.HK,D,20250307,000000,0.139,0.139,0.121,0.138,5665000,0
56000.HK,D,20250310,000000,0.139,0.172,0.135,0.167,2240000,0
56000.HK,D,20250311,000000,0.168,0.17,0.165,0.165,350000,0
56000.HK,D,20250312,000000,0.16,0.182,0.16,0.177,2180000,0
56000.HK,D,20250313,000000,0.171,0.195,0.171,0.182,5460000,0
56000.HK,D,20250314,000000,0.178,0.18,0.148,0.155,3510000,0
56000.HK,D,20250317,000000,0.154,0.157,0.145,0.155,2180000,0
56000.HK,D,20250318,000000,0.132,0.138,0.13,0.13,6625000,0
56000.HK,D,20250319,000000,0.127,0.131,0.127,0.127,1915000,0
56000.HK,D,20250320,000000,0.147,0.163,0.14,0.163,3550000,0
56000.HK,D,20250321,000000,0.17,0.186,0.157,0.18,3790000,0
56000.HK,D,20250324,000000,0.177,0.185,0.169,0.171,4240000,0
56000.HK,D,20250325,000000,0.171,0.19,0.171,0.19,1920000,0
56000.HK,D,20250326,000000,0.185,0.189,0.179,0.183,1985000,0
56000.HK,D,20250327,000000,0.183,0.183,0.171,0.18,2930000,0
56000.HK,D,20250328,000000,0.172,0.189,0.17,0.183,3075000,0
56000.HK,D,20250331,000000,0.187,0.203,0.187,0.195,1665000,0
56000.HK,D,20250401,000000,0.193,0.193,0.18,0.192,2000000,0
56000.HK,D,20250402,000000,0.195,0.197,0.186,0.194,980000,0
56000.HK,D,20250403,000000,0.203,0.21,0.203,0.203,665000,0
56000.HK,D,20250407,000000,0.27,0.315,0.27,0.315,495000,0
56000.HK,D,20250408,000000,0.31,0.325,0.305,0.315,145000,0
56000.HK,D,20250409,000000,0.335,0.335,0.31,0.31,400000,0
56000.HK,D,20250410,000000,0.305,0.305,0.305,0.305,0,0
56000.HK,D,20250411,000000,0.305,0.305,0.305,0.305,0,0
56000.HK,D,20250414,000000,0.29,0.29,0.29,0.29,0,0
56000.HK,D,20250415,000000,0.28,0.28,0.28,0.28,0,0
56000.HK,D,20250416,000000,0.295,0.295,0.295,0.295,0,0
56000.HK,D,20250417,000000,0.28,0.28,0.28,0.28,0,0
