<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
54766.HK,D,20250218,000000,0.116,0.138,0.116,0.138,8640000,0
54766.HK,D,20250219,000000,0.123,0.136,0.123,0.136,20000,0
54766.HK,D,20250220,000000,0.106,0.116,0.099,0.104,450000,0
54766.HK,D,20250221,000000,0.153,0.187,0.14,0.187,170000,0
54766.HK,D,20250224,000000,0.181,0.181,0.181,0.181,0,0
54766.HK,D,20250225,000000,0.143,0.143,0.143,0.143,0,0
54766.HK,D,20250226,000000,0.214,0.214,0.214,0.214,0,0
54766.HK,D,20250227,000000,0.208,0.208,0.208,0.208,0,0
54766.HK,D,20250228,000000,0.129,0.129,0.129,0.129,0,0
54766.HK,D,20250303,000000,0.137,0.137,0.137,0.137,0,0
54766.HK,D,20250304,000000,0.111,0.136,0.095,0.134,1300000,0
54766.HK,D,20250305,000000,0.195,0.195,0.195,0.195,0,0
54766.HK,D,20250306,000000,0.27,0.27,0.27,0.27,0,0
54766.HK,D,20250307,000000,0.26,0.26,0.26,0.26,0,0
54766.HK,D,20250310,000000,0.22,0.22,0.22,0.22,0,0
54766.HK,D,20250311,000000,0.222,0.222,0.222,0.222,0,0
54766.HK,D,20250312,000000,0.198,0.198,0.198,0.198,0,0
54766.HK,D,20250313,000000,0.187,0.187,0.187,0.187,0,0
54766.HK,D,20250314,000000,0.235,0.235,0.235,0.235,0,0
54766.HK,D,20250317,000000,0.25,0.25,0.25,0.25,0,0
54766.HK,D,20250318,000000,0.305,0.305,0.305,0.305,0,0
54766.HK,D,20250319,000000,0.31,0.31,0.31,0.31,0,0
54766.HK,D,20250320,000000,0.265,0.265,0.265,0.265,0,0
54766.HK,D,20250321,000000,0.209,0.209,0.209,0.209,0,0
54766.HK,D,20250324,000000,0.227,0.227,0.227,0.227,0,0
54766.HK,D,20250325,000000,0.178,0.178,0.178,0.178,0,0
54766.HK,D,20250326,000000,0.186,0.186,0.186,0.186,0,0
54766.HK,D,20250327,000000,0.196,0.196,0.196,0.196,0,0
54766.HK,D,20250328,000000,0.177,0.177,0.177,0.177,0,0
54766.HK,D,20250331,000000,0.154,0.17,0.138,0.153,650000,0
54766.HK,D,20250401,000000,0.164,0.173,0.154,0.154,300000,0
54766.HK,D,20250402,000000,0.14,0.17,0.134,0.154,450000,0
54766.HK,D,20250403,000000,0.108,0.125,0.106,0.119,1160000,0
