<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
554.HK,D,20060201,000000,0.5,0.5,0.5,0.5,260000,0
554.HK,D,20060206,000000,0.495,0.495,0.495,0.495,1810000,0
554.HK,D,20060208,000000,0.49,0.49,0.49,0.49,2708000,0
554.HK,D,20060213,000000,0.495,0.495,0.495,0.495,470000,0
554.HK,D,20060215,000000,0.48,0.48,0.48,0.48,1240000,0
554.HK,D,20060220,000000,0.485,0.485,0.485,0.485,160000,0
554.HK,D,20060222,000000,0.52,0.52,0.52,0.52,2448000,0
554.HK,D,20060227,000000,0.53,0.53,0.53,0.53,12080000,0
554.HK,D,20060301,000000,0.58,0.58,0.58,0.58,5068000,0
554.HK,D,20060306,000000,0.56,0.56,0.56,0.56,15990000,0
554.HK,D,20060308,000000,0.55,0.55,0.55,0.55,10604000,0
554.HK,D,20060313,000000,0.53,0.53,0.53,0.53,1520000,0
554.HK,D,20060315,000000,0.55,0.55,0.55,0.55,2066000,0
554.HK,D,20060320,000000,0.54,0.54,0.54,0.54,2440000,0
554.HK,D,20060322,000000,0.53,0.53,0.53,0.53,2084000,0
554.HK,D,20060327,000000,0.52,0.52,0.52,0.52,1832000,0
554.HK,D,20060329,000000,0.53,0.53,0.53,0.53,2406000,0
554.HK,D,20060403,000000,0.475,0.475,0.475,0.475,3996000,0
554.HK,D,20060406,000000,0.465,0.465,0.465,0.465,4980000,0
554.HK,D,20060411,000000,0.485,0.485,0.485,0.485,2790000,0
554.HK,D,20060413,000000,0.465,0.465,0.465,0.465,2096000,0
554.HK,D,20060419,000000,0.445,0.445,0.445,0.445,3864000,0
554.HK,D,20060424,000000,0.42,0.42,0.42,0.42,2170000,0
554.HK,D,20060426,000000,0.41,0.41,0.41,0.41,1800000,0
554.HK,D,20060502,000000,0.5,0.5,0.5,0.5,14762000,0
554.HK,D,20060504,000000,0.46,0.46,0.46,0.46,940000,0
554.HK,D,20060510,000000,0.44,0.44,0.44,0.44,1328000,0
554.HK,D,20060512,000000,0.455,0.455,0.455,0.455,3408000,0
554.HK,D,20060517,000000,0.44,0.44,0.44,0.44,502000,0
554.HK,D,20060519,000000,0.405,0.405,0.405,0.405,1460000,0
554.HK,D,20060524,000000,0.39,0.39,0.39,0.39,1102000,0
554.HK,D,20060526,000000,0.405,0.405,0.405,0.405,524000,0
554.HK,D,20060601,000000,0.41,0.41,0.41,0.41,1608000,0
554.HK,D,20060605,000000,0.4,0.4,0.4,0.4,1364000,0
554.HK,D,20060608,000000,0.38,0.38,0.38,0.38,732000,0
554.HK,D,20060612,000000,0.36,0.36,0.36,0.36,602000,0
554.HK,D,20060615,000000,0.35,0.35,0.35,0.35,1770000,0
554.HK,D,20060619,000000,0.36,0.36,0.36,0.36,112000,0
554.HK,D,20060622,000000,0.36,0.36,0.36,0.36,1162000,0
554.HK,D,20060626,000000,0.36,0.36,0.36,0.36,584000,0
554.HK,D,20060628,000000,0.38,0.38,0.38,0.38,1842000,0
554.HK,D,20060703,000000,0.41,0.41,0.41,0.41,2624000,0
554.HK,D,20060705,000000,0.4,0.4,0.4,0.4,4732000,0
554.HK,D,20060710,000000,0.405,0.405,0.405,0.405,414000,0
554.HK,D,20060712,000000,0.415,0.415,0.415,0.415,1188000,0
554.HK,D,20060717,000000,0.4,0.4,0.4,0.4,200000,0
554.HK,D,20060719,000000,0.415,0.415,0.415,0.415,438000,0
554.HK,D,20060724,000000,0.445,0.445,0.445,0.445,3292000,0
554.HK,D,20060726,000000,0.44,0.44,0.44,0.44,2320000,0
554.HK,D,20060731,000000,0.42,0.42,0.42,0.42,1236000,0
554.HK,D,20060802,000000,0.415,0.415,0.415,0.415,1378000,0
554.HK,D,20060807,000000,0.42,0.42,0.42,0.42,2950000,0
554.HK,D,20060809,000000,0.405,0.405,0.405,0.405,1076000,0
554.HK,D,20060814,000000,0.375,0.375,0.375,0.375,1804000,0
554.HK,D,20060816,000000,0.375,0.375,0.375,0.375,436000,0
554.HK,D,20060821,000000,0.365,0.365,0.365,0.365,750000,0
554.HK,D,20060823,000000,0.375,0.375,0.375,0.375,530000,0
554.HK,D,20060828,000000,0.385,0.385,0.385,0.385,362000,0
554.HK,D,20060830,000000,0.43,0.43,0.43,0.43,8316000,0
554.HK,D,20060901,000000,0.41,0.41,0.41,0.41,2718000,0
554.HK,D,20060906,000000,0.38,0.38,0.38,0.38,9071000,0
554.HK,D,20060908,000000,0.385,0.385,0.385,0.385,1518000,0
554.HK,D,20060913,000000,0.375,0.375,0.375,0.375,2654000,0
554.HK,D,20060915,000000,0.38,0.38,0.38,0.38,3182000,0
554.HK,D,20060920,000000,0.405,0.405,0.405,0.405,3354000,0
554.HK,D,20060922,000000,0.395,0.395,0.395,0.395,1088000,0
554.HK,D,20060927,000000,0.435,0.435,0.435,0.435,32480000,0
554.HK,D,20060929,000000,0.415,0.415,0.415,0.415,4156000,0
554.HK,D,20061005,000000,0.395,0.395,0.395,0.395,2196000,0
554.HK,D,20061009,000000,0.4,0.4,0.4,0.4,2752000,0
554.HK,D,20061012,000000,0.4,0.4,0.4,0.4,2652000,0
554.HK,D,20061016,000000,0.405,0.405,0.405,0.405,4818000,0
554.HK,D,20061019,000000,0.425,0.425,0.425,0.425,3650000,0
554.HK,D,20061023,000000,0.425,0.425,0.425,0.425,3390000,0
554.HK,D,20061026,000000,0.41,0.41,0.41,0.41,1258000,0
554.HK,D,20061031,000000,0.42,0.42,0.42,0.42,5400000,0
554.HK,D,20061103,000000,0.475,0.475,0.475,0.475,41446000,0
554.HK,D,20061107,000000,0.46,0.46,0.46,0.46,13378000,0
554.HK,D,20061110,000000,0.475,0.475,0.475,0.475,3618000,0
554.HK,D,20061114,000000,0.465,0.465,0.465,0.465,3649000,0
554.HK,D,20061116,000000,0.465,0.465,0.465,0.465,716000,0
554.HK,D,20061121,000000,0.455,0.455,0.455,0.455,532000,0
554.HK,D,20061123,000000,0.45,0.45,0.45,0.45,1900000,0
554.HK,D,20061128,000000,0.435,0.435,0.435,0.435,2178000,0
554.HK,D,20061130,000000,0.45,0.45,0.45,0.45,2130000,0
554.HK,D,20061205,000000,0.455,0.455,0.455,0.455,3070000,0
554.HK,D,20061207,000000,0.455,0.455,0.455,0.455,2144000,0
554.HK,D,20061212,000000,0.495,0.495,0.495,0.495,12092000,0
554.HK,D,20061214,000000,0.52,0.52,0.52,0.52,9586000,0
554.HK,D,20061219,000000,0.52,0.52,0.52,0.52,2768000,0
554.HK,D,20061221,000000,0.51,0.51,0.51,0.51,3338000,0
554.HK,D,20061228,000000,0.5,0.5,0.5,0.5,15128000,0
554.HK,D,20070102,000000,0.51,0.51,0.51,0.51,1928000,0
554.HK,D,20070105,000000,0.51,0.51,0.51,0.51,2438000,0
554.HK,D,20070109,000000,0.495,0.495,0.495,0.495,2188000,0
554.HK,D,20070112,000000,0.495,0.495,0.495,0.495,1752000,0
554.HK,D,20070116,000000,0.49,0.49,0.49,0.49,696000,0
554.HK,D,20070119,000000,0.5,0.5,0.5,0.5,2074000,0
554.HK,D,20070123,000000,0.52,0.52,0.52,0.52,2482000,0
554.HK,D,20070125,000000,0.5,0.5,0.5,0.5,3350000,0
554.HK,D,20070130,000000,0.5,0.5,0.5,0.5,612000,0
554.HK,D,20070201,000000,0.5,0.5,0.5,0.5,1798000,0
554.HK,D,20070206,000000,0.53,0.53,0.53,0.53,3914000,0
554.HK,D,20070208,000000,0.53,0.53,0.53,0.53,10616000,0
554.HK,D,20070213,000000,0.55,0.55,0.55,0.55,13074000,0
554.HK,D,20070215,000000,0.54,0.54,0.54,0.54,7094000,0
554.HK,D,20070222,000000,0.55,0.55,0.55,0.55,6380000,0
554.HK,D,20070226,000000,0.63,0.63,0.63,0.63,26550000,0
554.HK,D,20070301,000000,0.59,0.59,0.59,0.59,8452000,0
554.HK,D,20070305,000000,0.53,0.53,0.53,0.53,13466000,0
554.HK,D,20070308,000000,0.58,0.58,0.58,0.58,1935990,0
554.HK,D,20070312,000000,0.56,0.56,0.56,0.56,5028000,0
554.HK,D,20070315,000000,0.59,0.59,0.59,0.59,5136000,0
554.HK,D,20070319,000000,0.58,0.58,0.58,0.58,2080000,0
554.HK,D,20070322,000000,0.61,0.61,0.61,0.61,11510000,0
554.HK,D,20070326,000000,0.63,0.63,0.63,0.63,7192000,0
