<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1756.HK,D,20191125,000000,2.5779,2.758,2.4156,2.4336,38795987,0
1756.HK,D,20191126,000000,2.4246,2.632,2.2895,2.5598,16033848,0
1756.HK,D,20191127,000000,2.4967,2.8392,2.4696,2.8122,12746532,0
1756.HK,D,20191128,000000,2.8572,2.8752,2.659,2.7311,6692235,0
1756.HK,D,20191129,000000,2.7132,2.7132,2.5419,2.5598,2693758,0
1756.HK,D,20191202,000000,2.5598,2.5598,2.4336,2.5057,1736298,0
1756.HK,D,20191203,000000,2.4246,2.6139,2.4246,2.5237,517007,0
1756.HK,D,20191204,000000,2.4877,2.5237,2.4516,2.4696,394967,0
1756.HK,D,20191205,000000,2.4696,2.5598,2.3435,2.3705,2717055,0
1756.HK,D,20191206,000000,2.3255,2.4877,2.3255,2.4696,1217071,0
1756.HK,D,20191209,000000,2.3885,2.5598,2.3885,2.5237,1614258,0
1756.HK,D,20191210,000000,2.4426,2.4877,2.4246,2.4336,642375,0
1756.HK,D,20191211,000000,2.4336,2.4426,2.3885,2.4066,490380,0
1756.HK,D,20191212,000000,2.3885,2.4066,2.3075,2.3435,1553237,0
1756.HK,D,20191213,000000,2.3435,2.4336,2.2985,2.3525,1497764,0
1756.HK,D,20191216,000000,2.3435,2.4967,2.3435,2.4066,1150506,0
1756.HK,D,20191217,000000,2.4066,2.5148,2.4066,2.4336,788822,0
1756.HK,D,20191218,000000,2.4336,2.5327,2.3795,2.5057,605762,0
1756.HK,D,20191219,000000,2.3975,2.4787,2.3975,2.4336,432688,0
1756.HK,D,20191220,000000,2.4336,2.4877,2.4156,2.4516,94304,0
1756.HK,D,20191223,000000,2.3975,2.4787,2.3255,2.4156,513122,0
1756.HK,D,20191224,000000,2.3885,2.4336,2.3705,2.4336,512569,0
1756.HK,D,20191227,000000,2.4336,2.5057,2.3975,2.4156,448220,0
1756.HK,D,20191230,000000,2.3885,2.3975,2.3435,2.3705,764415,0
1756.HK,D,20191231,000000,2.3435,2.4246,2.3345,2.3435,566932,0
1756.HK,D,20200102,000000,2.3435,2.3435,2.2624,2.2624,1153833,0
1756.HK,D,20200103,000000,2.2985,2.3975,2.2714,2.3075,692301,0
1756.HK,D,20200106,000000,2.2895,2.3705,2.2895,2.3616,232986,0
1756.HK,D,20200107,000000,2.3616,2.3616,2.2804,2.3075,1078390,0
1756.HK,D,20200108,000000,2.2895,2.5148,2.2895,2.4336,2441911,0
