<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
215.HK,D,20090508,000000,0.397919,0.397919,0.397919,0.397919,216866905.75929,0
215.HK,D,20090512,000000,0.376903,0.376903,0.376903,0.376903,46331321.055695,0
215.HK,D,20090514,000000,0.342299,0.342299,0.342299,0.342299,67773862.401975,0
215.HK,D,20090518,000000,0.346775,0.346775,0.346775,0.346775,26454902.364205,0
215.HK,D,20090519,000000,0.406473,0.406473,0.406473,0.406473,189423942.46974,0
215.HK,D,20090521,000000,0.4241,0.4241,0.4241,0.4241,56072182.211067,0
215.HK,D,20090525,000000,0.419426,0.419426,0.419426,0.419426,21834115.868184,0
215.HK,D,20090526,000000,0.419426,0.419426,0.419426,0.419426,36970818.346439,0
215.HK,D,20090529,000000,0.411005,0.411005,0.411005,0.411005,40842509.846528,0
215.HK,D,20090602,000000,0.43257,0.43257,0.43257,0.43257,55483378.919931,0
215.HK,D,20090603,000000,0.427999,0.427999,0.427999,0.427999,61657876.726725,0
215.HK,D,20090605,000000,0.436619,0.436619,0.436619,0.436619,82171191.610593,0
215.HK,D,20090609,000000,0.479645,0.479645,0.479645,0.479645,191928009.33019,0
215.HK,D,20090610,000000,0.492134,0.492134,0.492134,0.492134,44094700.481429,0
215.HK,D,20090612,000000,0.471194,0.471194,0.471194,0.471194,36254606.437112,0
215.HK,D,20090616,000000,0.444965,0.444965,0.444965,0.444965,32891108.958327,0
215.HK,D,20090617,000000,0.462556,0.462556,0.462556,0.462556,20926858.668325,0
215.HK,D,20090619,000000,0.462556,0.462556,0.462556,0.462556,22155160.053148,0
215.HK,D,20090623,000000,0.453614,0.453614,0.453614,0.453614,18190395.097997,0
215.HK,D,20090624,000000,0.462556,0.462556,0.462556,0.462556,17101183.409823,0
215.HK,D,20090626,000000,0.462556,0.462556,0.462556,0.462556,14145474.250617,0
215.HK,D,20090630,000000,0.453614,0.453614,0.453614,0.453614,12377480.197655,0
215.HK,D,20090702,000000,0.46653,0.46653,0.46653,0.46653,15486913.955753,0
215.HK,D,20090706,000000,0.471194,0.471194,0.471194,0.471194,15579863.762378,0
215.HK,D,20090708,000000,0.475197,0.475197,0.475197,0.475197,48255310.822866,0
215.HK,D,20090709,000000,0.475197,0.475197,0.475197,0.475197,23187649.870062,0
215.HK,D,20090713,000000,0.46653,0.46653,0.46653,0.46653,9103193.4812902,0
215.HK,D,20090715,000000,0.46653,0.46653,0.46653,0.46653,9810728.8635059,0
215.HK,D,20090716,000000,0.46653,0.46653,0.46653,0.46653,8841814.4231289,0
215.HK,D,20090720,000000,0.475197,0.475197,0.475197,0.475197,14063397.051899,0
215.HK,D,20090722,000000,0.46653,0.46653,0.46653,0.46653,16535017.294168,0
215.HK,D,20090723,000000,0.471194,0.471194,0.471194,0.471194,11493593.609309,0
215.HK,D,20090727,000000,0.500651,0.500651,0.500651,0.500651,21974044.683288,0
215.HK,D,20090729,000000,0.496677,0.496677,0.496677,0.496677,25509322.603316,0
215.HK,D,20090730,000000,0.500651,0.500651,0.500651,0.500651,9143538.80394,0
215.HK,D,20090803,000000,0.539257,0.539257,0.539257,0.539257,13945363.521649,0
215.HK,D,20090805,000000,0.547773,0.547773,0.547773,0.547773,34346907.615786,0
215.HK,D,20090806,000000,0.560831,0.560831,0.560831,0.560831,21791835.500328,0
215.HK,D,20090810,000000,0.560831,0.560831,0.560831,0.560831,17190005.260918,0
215.HK,D,20090812,000000,0.526766,0.526766,0.526766,0.526766,11544212.320513,0
215.HK,D,20090813,000000,0.505193,0.505193,0.505193,0.505193,15907863.96457,0
215.HK,D,20090817,000000,0.46653,0.46653,0.46653,0.46653,8783405.8603615,0
215.HK,D,20090819,000000,0.492134,0.492134,0.492134,0.492134,11496647.831398,0
215.HK,D,20090820,000000,0.500651,0.500651,0.500651,0.500651,8263985.1950272,0
215.HK,D,20090824,000000,0.539257,0.539257,0.539257,0.539257,15068076.538617,0
215.HK,D,20090826,000000,0.522698,0.522698,0.522698,0.522698,5965430.4922894,0
215.HK,D,20090827,000000,0.527429,0.527429,0.527429,0.527429,4133225.9114159,0
215.HK,D,20090831,000000,0.527429,0.527429,0.527429,0.527429,3067062.5033567,0
