<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
1419.HK,D,20160401,000000,1.38738,1.76223,1.32728,1.49233,241144374.80824,0
1419.HK,D,20160405,000000,1.52984,1.73973,1.52225,1.61978,101288264.4884,0
1419.HK,D,20160406,000000,1.61978,1.6948,1.3798,1.3948,40178727.96804,0
1419.HK,D,20160407,000000,1.3798,1.44731,1.25234,1.26735,24568631.328639,0
1419.HK,D,20160408,000000,1.26735,1.30486,1.1624,1.22234,18946543.956095,0
1419.HK,D,20160411,000000,1.21483,1.43231,1.17732,1.42481,27158312.539761,0
1419.HK,D,20160412,000000,1.42481,1.47732,1.36479,1.40239,12006944.515258,0
1419.HK,D,20160413,000000,1.40239,1.42481,1.31986,1.4098,10812117.322738,0
1419.HK,D,20160414,000000,1.41731,1.51483,1.37229,1.43231,17359663.757373,0
1419.HK,D,20160415,000000,1.43231,1.46974,1.35729,1.37229,7718369.3165964,0
1419.HK,D,20160418,000000,1.4098,1.4098,1.32728,1.34228,3056410.4719809,0
1419.HK,D,20160419,000000,1.35729,1.3948,1.34228,1.37229,3267106.0123488,0
1419.HK,D,20160420,000000,1.34979,1.34979,1.31228,1.33487,2301642.5341097,0
1419.HK,D,20160421,000000,1.33487,1.41731,1.33487,1.35729,4515272.0309542,0
1419.HK,D,20160422,000000,1.34979,1.80725,1.34228,1.70972,60957517.129062,0
1419.HK,D,20160425,000000,1.73231,1.9873,1.55985,1.57485,51276217.085802,0
1419.HK,D,20160426,000000,1.61228,2.01722,1.61228,2.00972,50073389.24732,0
1419.HK,D,20160427,000000,2.06223,2.19719,1.91219,1.96471,37706395.496046,0
1419.HK,D,20160428,000000,2.01722,2.21227,1.9497,2.05473,41405557.744409,0
1419.HK,D,20160429,000000,2.06223,2.2497,1.96471,2.18968,35228730.446412,0
1419.HK,D,20160503,000000,2.17468,2.46718,2.13717,2.41466,43825882.458641,0
1419.HK,D,20160504,000000,2.43717,2.63214,2.35473,2.39216,31609575.844009,0
1419.HK,D,20160505,000000,2.39216,2.47468,2.21227,2.28721,13601825.359942,0
