<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
7234.HK,D,20220512,000000,7.98,7.98,7.875,7.875,7300,0
7234.HK,D,20220513,000000,7.935,7.935,7.875,7.93,1300,0
7234.HK,D,20220516,000000,7.85,7.85,7.685,7.685,500,0
7234.HK,D,20220517,000000,7.965,7.965,7.935,7.965,500,0
7234.HK,D,20220518,000000,7.97,7.97,7.97,7.97,0,0
7234.HK,D,20220519,000000,8.095,8.095,8.095,8.095,0,0
7234.HK,D,20220520,000000,8.5,8.5,8.5,8.5,0,0
7234.HK,D,20220523,000000,8.56,8.56,8.56,8.56,0,0
7234.HK,D,20220524,000000,8.375,8.375,7.98,7.98,500,0
7234.HK,D,20220525,000000,7.85,7.85,7.85,7.85,200,0
7234.HK,D,20220526,000000,7.85,7.85,7.85,7.85,0,0
7234.HK,D,20220527,000000,7.85,7.85,7.85,7.85,0,0
7234.HK,D,20220530,000000,8.105,8.105,8.02,8.105,10300,0
7234.HK,D,20220531,000000,8.185,8.535,8.185,8.535,12400,0
7234.HK,D,20220601,000000,8.64,8.655,8.51,8.655,3000,0
7234.HK,D,20220602,000000,8.5,8.88,8.5,8.88,26000,0
7234.HK,D,20220606,000000,9.74,9.74,9.67,9.74,3000,0
7234.HK,D,20220607,000000,9.65,9.68,9.56,9.645,36800,0
7234.HK,D,20220608,000000,9.4,9.75,9.4,9.75,10100,0
7234.HK,D,20220609,000000,9.5,9.5,9.27,9.27,1000,0
7234.HK,D,20220610,000000,9.27,9.55,9.27,9.55,1300,0
7234.HK,D,20220613,000000,9.49,9.51,9.49,9.49,200,0
7234.HK,D,20220614,000000,9.275,9.345,9.05,9.345,20700,0
7234.HK,D,20220615,000000,9.835,9.95,9.5,9.725,60000,0
7234.HK,D,20220616,000000,9.595,9.595,9.595,9.595,0,0
7234.HK,D,20220617,000000,10.02,10.22,10.02,10.22,40200,0
7234.HK,D,20220620,000000,10.86,10.86,10.82,10.82,200,0
7234.HK,D,20220621,000000,10.79,10.79,10.48,10.56,118600,0
7234.HK,D,20220622,000000,10.56,10.56,10.29,10.29,131200,0
7234.HK,D,20220623,000000,10.48,10.9,10.48,10.9,1000,0
7234.HK,D,20220624,000000,11.07,11.58,11.07,11.58,180700,0
7234.HK,D,20220627,000000,11.73,11.76,11.59,11.59,41200,0
7234.HK,D,20220628,000000,11.29,11.68,11.29,11.68,7000,0
7234.HK,D,20220629,000000,11.68,11.68,11.02,11.15,11300,0
7234.HK,D,20220630,000000,11.18,11.44,11.18,11.38,4100,0
