<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
855.HK,D,20060201,000000,0.494997,0.494997,0.494997,0.494997,40630483.510368,0
855.HK,D,20060206,000000,0.501232,0.501232,0.501232,0.501232,52116690.418796,0
855.HK,D,20060208,000000,0.549358,0.549358,0.549358,0.549358,63101924.250771,0
855.HK,D,20060213,000000,0.756183,0.756183,0.756183,0.756183,105728691.86695,0
855.HK,D,20060215,000000,0.955312,0.955312,0.955312,0.955312,138085881.97172,0
855.HK,D,20060220,000000,0.714487,0.714487,0.714487,0.714487,48174799.060108,0
855.HK,D,20060222,000000,0.810837,0.810837,0.810837,0.810837,67329198.041803,0
855.HK,D,20060227,000000,0.742057,0.742057,0.742057,0.742057,23990436.552116,0
855.HK,D,20060301,000000,0.693931,0.693931,0.693931,0.693931,35404184.901724,0
855.HK,D,20060306,000000,0.749072,0.749072,0.749072,0.749072,11693306.587833,0
855.HK,D,20060308,000000,0.701043,0.701043,0.701043,0.701043,18062777.278791,0
855.HK,D,20060313,000000,0.749072,0.749072,0.749072,0.749072,33503540.140024,0
855.HK,D,20060315,000000,0.734751,0.734751,0.734751,0.734751,35751886.416418,0
855.HK,D,20060320,000000,0.879421,0.879421,0.879421,0.879421,133789322.44246,0
855.HK,D,20060322,000000,0.817851,0.817851,0.817851,0.817851,42221427.725019,0
855.HK,D,20060327,000000,0.893742,0.893742,0.893742,0.893742,53401732.027576,0
855.HK,D,20060329,000000,0.996327,0.996327,0.996327,0.996327,70283966.509348,0
855.HK,D,20060403,000000,0.975868,0.975868,0.975868,0.975868,44802909.89846,0
855.HK,D,20060406,000000,1.14782,1.14782,1.14782,1.14782,117767288.79007,0
855.HK,D,20060411,000000,1.16847,1.16847,1.16847,1.16847,18075443.925849,0
855.HK,D,20060413,000000,1.16126,1.16126,1.16126,1.16126,19790522.308143,0
855.HK,D,20060419,000000,1.2166,1.2166,1.2166,1.2166,31183752.537163,0
855.HK,D,20060424,000000,1.32639,1.32639,1.32639,1.32639,0,0
855.HK,D,20060426,000000,1.2166,1.2166,1.2166,1.2166,179936180.01734,0
855.HK,D,20060502,000000,1.20237,1.20237,1.20237,1.20237,11710405.534891,0
855.HK,D,20060504,000000,1.18893,1.18893,1.18893,1.18893,11977671.787823,0
855.HK,D,20060510,000000,1.29161,1.29161,1.29161,1.29161,30093019.757789,0
855.HK,D,20060512,000000,1.56322,1.56322,1.56322,1.56322,123381066.70164,0
855.HK,D,20060517,000000,1.52922,1.52922,1.52922,1.52922,18038457.111144,0
855.HK,D,20060519,000000,1.39186,1.39186,1.39186,1.39186,21276963.605151,0
855.HK,D,20060524,000000,1.23004,1.23004,1.23004,1.23004,18887385.240527,0
855.HK,D,20060526,000000,1.15415,1.15415,1.15415,1.15415,14519254.02303,0
855.HK,D,20060601,000000,1.2166,1.2166,1.2166,1.2166,33908875.925305,0
855.HK,D,20060605,000000,1.26482,1.26482,1.26482,1.26482,30799189.437176,0
855.HK,D,20060608,000000,1.20939,1.20939,1.20939,1.20939,20263626.708127,0
855.HK,D,20060612,000000,1.14782,1.14782,1.14782,1.14782,21166130.44339,0
855.HK,D,20060615,000000,1.09979,1.09979,1.09979,1.09979,18962119.484642,0
855.HK,D,20060619,000000,1.17568,1.17568,1.17568,1.17568,8296718.4908912,0
855.HK,D,20060622,000000,1.20939,1.20939,1.20939,1.20939,7980050.2614903,0
855.HK,D,20060626,000000,1.20939,1.20939,1.20939,1.20939,0,0
855.HK,D,20060628,000000,1.29853,1.29853,1.29853,1.29853,27385503.419647,0
855.HK,D,20060703,000000,1.31908,1.31908,1.31908,1.31908,9854727.3702494,0
855.HK,D,20060705,000000,1.42586,1.42586,1.42586,1.42586,32882597.287105,0
855.HK,D,20060710,000000,1.47788,1.47788,1.47788,1.47788,9004153.8085139,0
855.HK,D,20060712,000000,1.52922,1.52922,1.52922,1.52922,10206227.85259,0
855.HK,D,20060717,000000,1.40832,1.40832,1.40832,1.40832,13189248.896605,0
855.HK,D,20060719,000000,1.40832,1.40832,1.40832,1.40832,12037208.10841,0
855.HK,D,20060724,000000,1.29161,1.29161,1.29161,1.29161,53909665.601088,0
855.HK,D,20060726,000000,1.32639,1.32639,1.32639,1.32639,28892846.737242,0
855.HK,D,20060731,000000,1.31908,1.31908,1.31908,1.31908,26267662.578509,0
855.HK,D,20060802,000000,1.37471,1.37471,1.37471,1.37471,7790048.5026733,0
855.HK,D,20060807,000000,1.40218,1.40218,1.40218,1.40218,7726587.9850284,0
855.HK,D,20060809,000000,1.39497,1.39497,1.39497,1.39497,4762693.1674833,0
855.HK,D,20060814,000000,1.41553,1.41553,1.41553,1.41553,19357953.231687,0
855.HK,D,20060816,000000,1.42975,1.42975,1.42975,1.42975,18684083.502299,0
855.HK,D,20060821,000000,1.40218,1.40218,1.40218,1.40218,9857895.0584846,0
855.HK,D,20060823,000000,1.43609,1.43609,1.43609,1.43609,6650041.0291831,0
855.HK,D,20060828,000000,1.40832,1.40832,1.40832,1.40832,2748684.9940231,0
855.HK,D,20060830,000000,1.45031,1.45031,1.45031,1.45031,13034080.417199,0
855.HK,D,20060901,000000,1.42975,1.42975,1.42975,1.42975,6434704.9497787,0
855.HK,D,20060906,000000,1.43609,1.43609,1.43609,1.43609,9326523.0555617,0
855.HK,D,20060908,000000,1.41553,1.41553,1.41553,1.41553,1798678.2528793,0
855.HK,D,20060913,000000,1.41553,1.41553,1.41553,1.41553,2394014.7705059,0
855.HK,D,20060915,000000,1.3674,1.3674,1.3674,1.3674,14288087.714215,0
855.HK,D,20060920,000000,1.3674,1.3674,1.3674,1.3674,24535485.249156,0
855.HK,D,20060922,000000,1.3674,1.3674,1.3674,1.3674,5888771.4350916,0
855.HK,D,20060927,000000,1.37471,1.37471,1.37471,1.37471,3217352.9881247,0
855.HK,D,20060929,000000,1.42975,1.42975,1.42975,1.42975,27447443.73435,0
855.HK,D,20061005,000000,1.47077,1.47077,1.47077,1.47077,14826425.346549,0
855.HK,D,20061009,000000,1.45031,1.45031,1.45031,1.45031,3863356.0939848,0
855.HK,D,20061012,000000,1.55289,1.55289,1.55289,1.55289,7096543.4174031,0
855.HK,D,20061016,000000,1.60102,1.60102,1.60102,1.60102,7973715.9114905,0
855.HK,D,20061019,000000,1.59401,1.59401,1.59401,1.59401,4784228.5204237,0
855.HK,D,20061023,000000,1.58758,1.58758,1.58758,1.58758,3534023.2704667,0
855.HK,D,20061026,000000,1.58037,1.58037,1.58037,1.58037,2628347.7410861,0
855.HK,D,20061031,000000,1.58037,1.58037,1.58037,1.58037,4909630.379243,0
855.HK,D,20061103,000000,1.73829,1.73829,1.73829,1.73829,28021373.20786,0
855.HK,D,20061107,000000,1.70438,1.70438,1.70438,1.70438,8411983.9526519,0
855.HK,D,20061110,000000,1.80073,1.80073,1.80073,1.80073,9734392.1702535,0
855.HK,D,20061114,000000,1.88286,1.88286,1.88286,1.88286,13404582.923069,0
855.HK,D,20061116,000000,1.95856,1.95856,1.95856,1.95856,8888253.9879297,0
855.HK,D,20061121,000000,1.93819,1.93819,1.93819,1.93819,10695801.973162,0
855.HK,D,20061123,000000,2.03454,2.03454,2.03454,2.03454,20588527.231645,0
855.HK,D,20061128,000000,2.02734,2.02734,2.02734,2.02734,22641806.116869,0
855.HK,D,20061130,000000,2.02734,2.02734,2.02734,2.02734,9963661.5614221,0
855.HK,D,20061205,000000,2.11657,2.11657,2.11657,2.11657,7544314.52327,0
855.HK,D,20061207,000000,2.02022,2.02022,2.02022,2.02022,5426432.6586369,0
855.HK,D,20061212,000000,2.02022,2.02022,2.02022,2.02022,8819855.120285,0
855.HK,D,20061214,000000,1.99265,1.99265,1.99265,1.99265,8650754.3555849,0
855.HK,D,20061219,000000,1.99265,1.99265,1.99265,1.99265,0,0
855.HK,D,20061221,000000,2.08267,2.08267,2.08267,2.08267,16499068.408256,0
855.HK,D,20061228,000000,2.03454,2.03454,2.03454,2.03454,3537063.676349,0
855.HK,D,20070102,000000,2.03454,2.03454,2.03454,2.03454,3622688.7734048,0
855.HK,D,20070105,000000,1.96586,1.96586,1.96586,1.96586,5193365.326292,0
855.HK,D,20070109,000000,2.02734,2.02734,2.02734,2.02734,4334561.5233804,0
855.HK,D,20070112,000000,1.95856,1.95856,1.95856,1.95856,14702291.178906,0
855.HK,D,20070116,000000,1.97901,1.97901,1.97901,1.97901,3002016.9087203,0
855.HK,D,20070119,000000,1.91754,1.91754,1.91754,1.91754,12901080.623086,0
855.HK,D,20070123,000000,1.93108,1.93108,1.93108,1.93108,43503934.977916,0
855.HK,D,20070125,000000,2.26095,2.26095,2.26095,2.26095,35126531.79291,0
855.HK,D,20070130,000000,2.34317,2.34317,2.34317,2.34317,16920238.52883,0
855.HK,D,20070201,000000,2.40562,2.40562,2.40562,2.40562,12445076.196631,0
855.HK,D,20070206,000000,2.41186,2.41186,2.41186,2.41186,8764119.8202869,0
855.HK,D,20070208,000000,2.54279,2.54279,2.54279,2.54279,15719429.096518,0
855.HK,D,20070213,000000,2.3913,2.3913,2.3913,2.3913,4300360.5498521,0
855.HK,D,20070215,000000,2.54279,2.54279,2.54279,2.54279,12334243.03487,0
855.HK,D,20070222,000000,2.55643,2.55643,2.55643,2.55643,5370700.4380506,0
855.HK,D,20070226,000000,2.46709,2.46709,2.46709,2.46709,9644332.7202566,0
855.HK,D,20070301,000000,2.29495,2.29495,2.29495,2.29495,7349246.1056297,0
855.HK,D,20070305,000000,2.09611,2.09611,2.09611,2.09611,13968251.796579,0
855.HK,D,20070308,000000,2.12368,2.12368,2.12368,2.12368,6814709.4938833,0
855.HK,D,20070312,000000,2.35029,2.35029,2.35029,2.35029,10086528.037888,0
855.HK,D,20070315,000000,2.28151,2.28151,2.28151,2.28151,4687960.9763094,0
855.HK,D,20070319,000000,2.28852,2.28852,2.28852,2.28852,1855678.1646421,0
855.HK,D,20070322,000000,2.43232,2.43232,2.43232,2.43232,4775361.8674829,0
855.HK,D,20070326,000000,2.44664,2.44664,2.44664,2.44664,8009182.523254,0
855.HK,D,20070329,000000,2.45998,2.45998,2.45998,2.45998,2419348.0646227,0
855.HK,D,20070402,000000,2.42608,2.42608,2.42608,2.42608,29388038.731342,0
855.HK,D,20070404,000000,2.40562,2.40562,2.40562,2.40562,8496942.8702961,0
855.HK,D,20070412,000000,2.45998,2.45998,2.45998,2.45998,5102798.7998245,0
855.HK,D,20070416,000000,2.45998,2.45998,2.45998,2.45998,0,0
855.HK,D,20070419,000000,2.79706,2.79706,2.79706,2.79706,8074035.9614871,0
855.HK,D,20070423,000000,2.9202,2.9202,2.9202,2.9202,10886181.473155,0
855.HK,D,20070426,000000,3.01022,3.01022,3.01022,3.01022,4544704.688079,0
855.HK,D,20070430,000000,2.8863,2.8863,2.8863,2.8863,12755413.155444,0
855.HK,D,20070504,000000,3.36084,3.36084,3.36084,3.36084,18521186.725834,0
855.HK,D,20070508,000000,3.43575,3.43575,3.43575,3.43575,24248963.43446,0
855.HK,D,20070511,000000,3.3813,3.3813,3.3813,3.3813,12638245.643683,0
855.HK,D,20070515,000000,3.42952,3.42952,3.42952,3.42952,16841274.199421,0
855.HK,D,20070518,000000,3.18139,3.18139,3.18139,3.18139,17458574.108223,0
