<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
28185.HK,D,20241009,000000,0.157,0.157,0.148,0.148,200000,0
28185.HK,D,20241010,000000,0.162,0.172,0.156,0.158,200000,0
28185.HK,D,20241014,000000,0.16,0.176,0.158,0.164,2890000,0
28185.HK,D,20241015,000000,0.153,0.153,0.142,0.147,500000,0
28185.HK,D,20241016,000000,0.15,0.157,0.15,0.155,4260000,0
28185.HK,D,20241017,000000,0.155,0.155,0.134,0.134,1140000,0
28185.HK,D,20241018,000000,0.14,0.14,0.14,0.14,0,0
28185.HK,D,20241021,000000,0.142,0.144,0.135,0.136,260000,0
28185.HK,D,20241022,000000,0.138,0.139,0.135,0.135,1040000,0
28185.HK,D,20241023,000000,0.139,0.141,0.137,0.141,410000,0
28185.HK,D,20241024,000000,0.131,0.131,0.123,0.128,460000,0
28185.HK,D,20241025,000000,0.137,0.138,0.136,0.136,200000,0
28185.HK,D,20241028,000000,0.134,0.139,0.133,0.139,320000,0
28185.HK,D,20241029,000000,0.153,0.153,0.141,0.141,170000,0
28185.HK,D,20241030,000000,0.15,0.15,0.147,0.147,50000,0
28185.HK,D,20241031,000000,0.153,0.157,0.152,0.152,340000,0
28185.HK,D,20241101,000000,0.149,0.151,0.146,0.149,3980000,0
28185.HK,D,20241104,000000,0.147,0.147,0.147,0.147,100000,0
28185.HK,D,20241105,000000,0.141,0.151,0.141,0.151,710000,0
28185.HK,D,20241106,000000,0.149,0.149,0.139,0.145,460000,0
28185.HK,D,20241107,000000,0.155,0.16,0.155,0.159,250000,0
28185.HK,D,20241108,000000,0.156,0.156,0.149,0.149,390000,0
28185.HK,D,20241111,000000,0.125,0.132,0.125,0.132,1040000,0
28185.HK,D,20241112,000000,0.14,0.14,0.128,0.13,670000,0
28185.HK,D,20241113,000000,0.119,0.119,0.117,0.117,120000,0
28185.HK,D,20241114,000000,0.118,0.118,0.106,0.107,1310000,0
28185.HK,D,20241115,000000,0.102,0.102,0.102,0.102,320000,0
28185.HK,D,20241118,000000,0.106,0.109,0.105,0.105,820000,0
28185.HK,D,20241119,000000,0.114,0.114,0.111,0.113,240000,0
28185.HK,D,20241120,000000,0.115,0.115,0.11,0.113,190000,0
28185.HK,D,20241121,000000,0.109,0.109,0.105,0.106,800000,0
28185.HK,D,20241122,000000,0.108,0.11,0.099,0.099,240000,0
28185.HK,D,20241125,000000,0.096,0.097,0.085,0.087,990000,0
28185.HK,D,20241126,000000,0.085,0.085,0.079,0.08,150000,0
28185.HK,D,20241127,000000,0.088,0.094,0.088,0.094,720000,0
28185.HK,D,20241128,000000,0.089,0.089,0.084,0.084,220000,0
28185.HK,D,20241129,000000,0.088,0.091,0.088,0.089,430000,0
28185.HK,D,20241202,000000,0.087,0.087,0.085,0.085,150000,0
28185.HK,D,20241203,000000,0.087,0.094,0.087,0.094,850000,0
28185.HK,D,20241204,000000,0.092,0.092,0.09,0.09,100000,0
28185.HK,D,20241205,000000,0.083,0.083,0.078,0.078,660000,0
28185.HK,D,20241206,000000,0.08,0.086,0.08,0.086,1020000,0
28185.HK,D,20241209,000000,0.092,0.092,0.092,0.092,0,0
28185.HK,D,20241210,000000,0.097,0.099,0.094,0.094,1460000,0
28185.HK,D,20241211,000000,0.099,0.1,0.095,0.095,240000,0
28185.HK,D,20241212,000000,0.093,0.101,0.093,0.098,440000,0
28185.HK,D,20241213,000000,0.088,0.088,0.085,0.085,130000,0
28185.HK,D,20241216,000000,0.083,0.083,0.078,0.078,200000,0
28185.HK,D,20241217,000000,0.074,0.074,0.074,0.074,30000,0
28185.HK,D,20241218,000000,0.075,0.075,0.075,0.075,0,0
28185.HK,D,20241219,000000,0.071,0.071,0.071,0.071,100000,0
28185.HK,D,20241220,000000,0.067,0.067,0.067,0.067,0,0
28185.HK,D,20241223,000000,0.065,0.065,0.065,0.065,100000,0
28185.HK,D,20241224,000000,0.066,0.066,0.066,0.066,60000,0
28185.HK,D,20241227,000000,0.062,0.062,0.062,0.062,10000,0
28185.HK,D,20241230,000000,0.06,0.06,0.06,0.06,0,0
28185.HK,D,20241231,000000,0.06,0.06,0.06,0.06,0,0
28185.HK,D,20250102,000000,0.058,0.058,0.058,0.058,0,0
28185.HK,D,20250103,000000,0.054,0.054,0.054,0.054,0,0
28185.HK,D,20250106,000000,0.054,0.054,0.05,0.05,210000,0
28185.HK,D,20250107,000000,0.049,0.05,0.049,0.049,170000,0
28185.HK,D,20250108,000000,0.045,0.045,0.045,0.045,0,0
28185.HK,D,20250109,000000,0.043,0.043,0.043,0.043,0,0
28185.HK,D,20250110,000000,0.041,0.041,0.041,0.041,0,0
28185.HK,D,20250113,000000,0.04,0.04,0.04,0.04,0,0
28185.HK,D,20250114,000000,0.042,0.042,0.042,0.042,0,0
28185.HK,D,20250115,000000,0.039,0.039,0.039,0.039,0,0
28185.HK,D,20250116,000000,0.038,0.038,0.038,0.038,0,0
28185.HK,D,20250117,000000,0.038,0.038,0.038,0.038,0,0
28185.HK,D,20250120,000000,0.038,0.038,0.038,0.038,140000,0
28185.HK,D,20250121,000000,0.042,0.043,0.041,0.041,80000,0
28185.HK,D,20250122,000000,0.035,0.036,0.034,0.035,840000,0
28185.HK,D,20250123,000000,0.036,0.036,0.032,0.033,5760000,0
28185.HK,D,20250124,000000,0.034,0.036,0.033,0.035,1020000,0
28185.HK,D,20250127,000000,0.034,0.034,0.033,0.033,1160000,0
28185.HK,D,20250128,000000,0.034,0.034,0.034,0.034,0,0
28185.HK,D,20250203,000000,0.027,0.027,0.025,0.026,830000,0
28185.HK,D,20250204,000000,0.027,0.029,0.025,0.029,860000,0
28185.HK,D,20250205,000000,0.033,0.033,0.027,0.027,420000,0
28185.HK,D,20250206,000000,0.028,0.03,0.028,0.03,70000,0
28185.HK,D,20250207,000000,0.033,0.033,0.033,0.033,70000,0
28185.HK,D,20250210,000000,0.03,0.033,0.03,0.033,230000,0
28185.HK,D,20250211,000000,0.036,0.036,0.034,0.034,2050000,0
28185.HK,D,20250212,000000,0.034,0.047,0.034,0.045,570000,0
28185.HK,D,20250213,000000,0.043,0.049,0.041,0.042,690000,0
28185.HK,D,20250214,000000,0.041,0.046,0.041,0.046,1500000,0
28185.HK,D,20250217,000000,0.04,0.04,0.036,0.036,1290000,0
28185.HK,D,20250218,000000,0.036,0.039,0.036,0.037,1350000,0
28185.HK,D,20250219,000000,0.035,0.037,0.035,0.037,1510000,0
28185.HK,D,20250220,000000,0.032,0.033,0.031,0.033,1780000,0
28185.HK,D,20250221,000000,0.033,0.037,0.032,0.035,3680000,0
28185.HK,D,20250224,000000,0.035,0.039,0.034,0.037,12120000,0
28185.HK,D,20250225,000000,0.035,0.038,0.033,0.034,2600000,0
28185.HK,D,20250226,000000,0.04,0.056,0.04,0.05,3070000,0
28185.HK,D,20250227,000000,0.05,0.053,0.045,0.045,3410000,0
28185.HK,D,20250228,000000,0.042,0.042,0.04,0.042,780000,0
28185.HK,D,20250303,000000,0.045,0.045,0.033,0.034,3400000,0
28185.HK,D,20250304,000000,0.034,0.037,0.034,0.034,2530000,0
28185.HK,D,20250305,000000,0.034,0.034,0.034,0.034,30000,0
28185.HK,D,20250306,000000,0.043,0.049,0.041,0.048,4710000,0
28185.HK,D,20250307,000000,0.046,0.049,0.046,0.046,1060000,0
28185.HK,D,20250310,000000,0.051,0.051,0.038,0.039,1240000,0
28185.HK,D,20250311,000000,0.033,0.035,0.032,0.033,300000,0
28185.HK,D,20250312,000000,0.03,0.03,0.024,0.025,2220000,0
28185.HK,D,20250313,000000,0.026,0.026,0.023,0.023,160000,0
28185.HK,D,20250314,000000,0.032,0.037,0.03,0.032,1840000,0
28185.HK,D,20250317,000000,0.032,0.037,0.032,0.032,510000,0
28185.HK,D,20250318,000000,0.032,0.038,0.032,0.036,1440000,0
28185.HK,D,20250319,000000,0.026,0.029,0.018,0.02,4190000,0
28185.HK,D,20250320,000000,0.015,0.015,0.014,0.014,750000,0
28185.HK,D,20250321,000000,0.011,0.011,0.01,0.011,410000,0
28185.HK,D,20250324,000000,0.011,0.011,0.011,0.011,0,0
28185.HK,D,20250325,000000,0.011,0.011,0.011,0.011,0,0
28185.HK,D,20250326,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250327,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250328,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250331,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250401,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250402,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250403,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250407,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250408,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250409,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250410,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250411,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250414,000000,0.01,0.01,0.01,0.01,0,0
28185.HK,D,20250415,000000,0.01,0.01,0.01,0.01,0,0
