<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
83151.HK,D,20210728,000000,9.9,9.91,9.53,9.68,826600,0
83151.HK,D,20210729,000000,9.9,10.19,9.885,10.11,2128600,0
83151.HK,D,20210730,000000,10.06,10.3,10.06,10.26,137800,0
83151.HK,D,20210802,000000,10.12,10.29,10.12,10.29,25000,0
83151.HK,D,20210803,000000,10.09,10.09,10.09,10.09,0,0
83151.HK,D,20210804,000000,10.19,10.33,10.19,10.3,289800,0
83151.HK,D,20210805,000000,10.36,10.36,10.36,10.36,10000,0
83151.HK,D,20210806,000000,10.46,10.46,10.24,10.24,50200,0
83151.HK,D,20210809,000000,10.21,10.21,10.21,10.21,0,0
83151.HK,D,20210810,000000,10.21,10.21,10.21,10.21,0,0
83151.HK,D,20210811,000000,10.15,10.17,10.15,10.15,96000,0
83151.HK,D,20210812,000000,10.34,10.34,10.11,10.18,190000,0
83151.HK,D,20210813,000000,10.15,10.15,10.05,10.06,6800,0
83151.HK,D,20210816,000000,9.92,9.955,9.92,9.955,126000,0
83151.HK,D,20210817,000000,9.91,9.91,9.705,9.705,9800,0
83151.HK,D,20210818,000000,9.67,9.67,9.67,9.67,0,0
83151.HK,D,20210819,000000,9.83,9.895,9.83,9.83,258600,0
83151.HK,D,20210820,000000,9.935,9.935,9.72,9.72,40200,0
83151.HK,D,20210823,000000,9.915,9.925,9.915,9.915,81000,0
83151.HK,D,20210824,000000,10.12,10.12,10.12,10.12,200,0
83151.HK,D,20210825,000000,9.9,9.9,9.9,9.9,0,0
83151.HK,D,20210826,000000,9.65,9.65,9.65,9.65,200,0
83151.HK,D,20210827,000000,9.475,9.52,9.475,9.475,1000,0
83151.HK,D,20210830,000000,9.52,9.575,9.425,9.425,146000,0
83151.HK,D,20210831,000000,9.155,9.215,9.155,9.215,26000,0
83151.HK,D,20210901,000000,9.14,9.14,9.14,9.14,0,0
83151.HK,D,20210902,000000,8.99,8.99,8.99,8.99,1000,0
83151.HK,D,20210903,000000,9,9,9,9,1000,0
83151.HK,D,20210906,000000,9.185,9.185,9.185,9.185,0,0
83151.HK,D,20210907,000000,9.2,9.2,9.2,9.2,0,0
83151.HK,D,20210908,000000,9.135,9.135,9.075,9.075,200,0
83151.HK,D,20210909,000000,8.975,8.975,8.975,8.975,0,0
83151.HK,D,20210910,000000,8.98,9.14,8.98,9.11,150000,0
83151.HK,D,20210913,000000,9.065,9.065,8.895,8.9,230000,0
83151.HK,D,20210914,000000,8.96,8.96,8.96,8.96,0,0
83151.HK,D,20210915,000000,8.91,8.91,8.91,8.91,0,0
83151.HK,D,20210916,000000,8.755,8.755,8.725,8.725,30000,0
83151.HK,D,20210917,000000,8.68,8.74,8.655,8.735,105800,0
83151.HK,D,20210920,000000,8.575,8.58,8.54,8.55,69000,0
83151.HK,D,20210921,000000,8.58,8.58,8.58,8.58,0,0
